report_date,channel,spend_30d,conv_value_30d,roas_30d,daily_budget_total,budget_share
2026-05-08,10,491412.48,2757336.31,5.611,44050.0,0.5858
2026-05-08,14,32389.51,97537.02,3.011,3250.0,0.0432
2026-05-08,2,47758.06,328636.01,6.881,27800.0,0.3697
2026-05-08,3,0.0,0.0,0.0,2380.0,0.0222
2026-05-08,4,0.0,0.0,0.0,2200.0,0.0205
2026-05-08,6,2412.65,0.0,0.0,100.0,0.0013
2026-05-08,Demand Gen,73700.0,85000.0,1.153,5300.0,0.2819
2026-05-08,Performance Max,162000.0,890000.0,5.494,8200.0,0.4362
2026-05-08,Search,69700.0,418000.0,5.997,4000.0,0.2128
2026-05-08,Video,18000.0,0.0,0.0,1300.0,0.0691
2026-05-14,10,501696.81,3017064.75,6.014,44220.0,0.5862
2026-05-14,14,32614.82,111081.86,3.406,3310.0,0.0439
2026-05-14,2,52521.38,348574.43,6.637,27800.0,0.3686
2026-05-14,6,3018.29,0.0,0.0,100.0,0.0013
2026-05-15,10,501696.79,3016529.76,6.013,44220.0,0.5862
2026-05-15,14,32616.44,111081.86,3.406,3310.0,0.0439
2026-05-15,2,52521.38,348574.43,6.637,27800.0,0.3686
2026-05-15,6,3018.29,0.0,0.0,100.0,0.0013
